state,city,total_orders,total_revenue,total_customers
SP,sao paulo,14559,2298691.68,14056
RJ,rio de janeiro,6336,1157164.33,6109
MG,belo horizonte,2597,405926.46,2512
DF,brasilia,1979,327911.08,1924
PR,curitiba,1426,258869.57,1373
SP,campinas,1350,214580.66,1309
RS,porto alegre,1301,264291.85,1252
BA,salvador,1136,214797.32,1102
SP,guarulhos,1112,168869.66,1079
SP,sao bernardo do campo,889,128481.08,860
RJ,niteroi,795,138316.02,758
SP,santo andre,762,105270.44,735
SP,osasco,710,105553.93,683
SP,santos,669,118401.13,650
SP,sao jose dos campos,653,93619.57,631
GO,goiania,629,162334.9,612
CE,fortaleza,588,119213.81,579
SP,sorocaba,586,82955.8,567
PE,recife,563,98430.82,543
SC,florianopolis,527,93854.69,506
SP,jundiai,524,94616.2,507
SP,ribeirao preto,485,80040.87,466
RJ,nova iguacu,410,72482.86,402
SP,barueri,410,58387.0,397
MG,juiz de fora,408,74580.29,398
MG,contagem,403,57698.67,394
PA,belem,400,79147.83,391
RJ,sao goncalo,373,54248.79,365
SP,mogi das cruzes,364,64825.33,353
ES,vitoria,361,57804.93,349
MG,uberlandia,354,54172.99,347
SP,piracicaba,344,54746.13,337
MA,sao luis,319,75943.83,311
SP,sao jose do rio preto,315,62268.09,310
ES,vila velha,315,46456.03,306
SP,carapicuiba,310,40788.02,304
SP,maua,305,39179.01,296
MS,campo grande,298,50241.76,294
PR,londrina,285,45884.77,277
SP,praia grande,285,39627.64,267
SP,taboao da serra,274,42605.32,264
SP,diadema,271,51704.99,262
ES,serra,267,40120.02,262
SP,sao caetano do sul,267,38835.48,258
SP,indaiatuba,263,48437.25,253
SP,taubate,255,39572.21,252
PI,teresina,249,50165.32,239
PR,maringa,249,46639.23,240
SP,bauru,246,34879.13,241
SC,joinville,244,36715.45,241
RJ,duque de caxias,244,41859.65,241
SP,cotia,236,32878.99,230
MT,cuiaba,227,45607.59,222
SP,suzano,227,32010.22,215
PB,joao pessoa,227,55308.06,217
RJ,petropolis,226,46929.2,208
RJ,campos dos goytacazes,222,32532.62,219
SP,sao carlos,221,38836.590000000004,212
RJ,macae,217,37089.75,211
SP,americana,213,37792.9,209
RJ,volta redonda,213,31567.84,207
AL,maceio,212,35208.05,210
SP,guaruja,208,31274.3,198
RS,caxias do sul,206,33002.04,196
MG,montes claros,205,41265.82,200
SE,aracaju,202,38267.96,199
RS,canoas,197,31062.67,189
SP,jacarei,187,21926.02,183
RN,natal,187,35598.12,183
SP,marilia,186,26970.02,185
MG,betim,184,28373.73,183
RS,santa maria,183,33080.91,177
SP,limeira,180,30694.09,172
RS,pelotas,178,29270.170000000002,173
SC,blumenau,177,29161.67,172
MG,uberaba,177,28398.82,169
SP,valinhos,175,35858.33,170
SP,sumare,173,26145.83,168
SP,santana de parnaiba,171,24553.26,165
BA,feira de santana,171,24454.23,163
SP,itapevi,167,23387.17,166
MG,ipatinga,167,31511.15,164
SP,itaquaquecetuba,163,18385.91,159
SC,sao jose,163,29523.51,160
SP,sao vicente,149,17858.55,147
SP,atibaia,149,27907.69,144
SP,presidente prudente,148,25534.09,146
SP,franca,148,37255.44,147
SP,rio claro,148,25705.28,143
SP,embu das artes,148,18287.06,146
SP,araraquara,146,24188.09,141
PR,cascavel,140,29772.41,138
SP,braganca paulista,140,23594.03,136
SP,hortolandia,138,18127.6,136
PR,ponta grossa,137,22794.6,129
SP,aracatuba,135,21537.0,130
ES,cariacica,131,21421.41,128
RJ,nova friburgo,131,22056.46,125
RJ,marica,131,19428.44,128
AM,manaus,130,26049.89,125
